associatedReferences,verbatimTaxonRank,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.72,single observation,mm,NA,NA,NA,NA,LACM ENT 602437,1968-09-08,M,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.51,single observation,mm,NA,NA,NA,NA,LACM ENT 602439,1968-09-08,F,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.35,single observation,mm,NA,NA,NA,NA,LACM ENT 602441,1965-08-08,F,adult,Santa Rosa,NA,NA,NA,NA,NA,United States,Missippi,Hancock,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,8.27,single observation,mm,NA,NA,NA,NA,LACM ENT 602442,1965-10-06,F,adult,Iringa,NA,NA,NA,NA,NA,Tanzania,Iringa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.37,single observation,mm,NA,NA,NA,NA,LACM ENT 602443,1949-07-18,F,adult,Largo,NA,NA,NA,NA,NA,United States,Florida,Pinellas,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,9.48,single observation,mm,NA,NA,NA,NA,LACM ENT 602445,1964-09-06,F,adult,Bwim,NA,NA,NA,NA,NA,Tanzania,Mwanza,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.11,single observation,mm,NA,NA,NA,NA,LACM ENT 602446,1978-03-23,M,adult,Key Largo Key,NA,NA,NA,NA,NA,United States,Florida,Monroe,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.37,single observation,mm,NA,NA,NA,NA,LACM ENT 602449,1968-07-26,F,adult,Augusta,NA,NA,NA,NA,NA,United States,Georgia,Augusta-Richmond,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.88,single observation,mm,NA,NA,NA,NA,LACM ENT 602450,NA,F,adult,University of Florida Agricultural Experimental Station,NA,NA,NA,NA,NA,United States,Florida,Hernando,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.12,single observation,mm,NA,NA,NA,NA,LACM ENT 602451,1946-09-04,M,adult,Ludlam Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.34,single observation,mm,NA,NA,NA,NA,LACM ENT 602452,NA,M,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.28,single observation,mm,NA,NA,NA,NA,LACM ENT 602454,1955-04-13,M,adult,Alachua county,NA,NA,NA,NA,NA,United States,Florida,Alachua,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.22,single observation,mm,NA,NA,NA,NA,LACM ENT 602455,1958-04-20,M,adult,Fort Eisenhower,NA,NA,NA,NA,NA,United States,Georgia,Augusta-Richmond,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.23,single observation,mm,NA,NA,NA,NA,LACM ENT 602456,1981-09-13,F,adult,"Gainesville, 10mi NE",NA,NA,NA,NA,NA,United States,Florida,Alachua,NA
